Country;CommodityCode;Grandeza;CÓDIGO DATAGRO
Ethiopia;2222000;AreaHarvested;SBS_ET
Ethiopia;2226000;AreaHarvested;RPS_ET
European Union;410000;AreaHarvested;WHT_EU
European Union;440000;AreaHarvested;COR_EU
European Union;2222000;AreaHarvested;SBS_EU
European Union;2224000;AreaHarvested;SFS_EU
European Union;2226000;AreaHarvested;RPS_EU
Fiji;2231000;AreaHarvested;CPO_FJ
Gambia, The;440000;AreaHarvested;COR_GM
Gambia, The;2221000;AreaHarvested;PNS_GM
Georgia;410000;AreaHarvested;WHT_GE
Georgia;440000;AreaHarvested;COR_GE
Ghana;440000;AreaHarvested;COR_GH
Ghana;2221000;AreaHarvested;PNS_GH
Ghana;2222000;AreaHarvested;SBS_GH
Ghana;2231000;AreaHarvested;CPO_GH
Ghana;2232000;AreaHarvested;PKS_GH
Ghana;4243000;AreaHarvested;PAO_GH
Guatemala;410000;AreaHarvested;WHT_GT
Guatemala;440000;AreaHarvested;COR_GT
Guatemala;2221000;AreaHarvested;PNS_GT
Guatemala;2222000;AreaHarvested;SBS_GT
Guatemala;2232000;AreaHarvested;PKS_GT
Guatemala;4243000;AreaHarvested;PAO_GT
Guinea;440000;AreaHarvested;COR_GN
Guinea;2221000;AreaHarvested;PNS_GN
Guinea;2232000;AreaHarvested;PKS_GN
Guinea;4243000;AreaHarvested;PAO_GN
Guinea-Bissau;440000;AreaHarvested;COR_GW
Guinea-Bissau;2232000;AreaHarvested;PKS_GW
Guyana;440000;AreaHarvested;COR_GY
Haiti;440000;AreaHarvested;COR_HT
Honduras;440000;AreaHarvested;COR_HN
Honduras;2232000;AreaHarvested;PKS_HN
Honduras;4243000;AreaHarvested;PAO_HN
India;410000;AreaHarvested;WHT_IN
India;440000;AreaHarvested;COR_IN
India;2221000;AreaHarvested;PNS_IN
India;2222000;AreaHarvested;SBS_IN
India;2224000;AreaHarvested;SFS_IN
India;2226000;AreaHarvested;RPS_IN
India;2231000;AreaHarvested;CPO_IN
India;2232000;AreaHarvested;PKS_IN
India;4243000;AreaHarvested;PAO_IN
Indonesia;440000;AreaHarvested;COR_ID
Indonesia;2221000;AreaHarvested;PNS_ID
Indonesia;2222000;AreaHarvested;SBS_ID
Indonesia;2231000;AreaHarvested;CPO_ID
Indonesia;2232000;AreaHarvested;PKS_ID
Indonesia;4243000;AreaHarvested;PAO_ID
Iran;410000;AreaHarvested;WHT_IR
Iran;440000;AreaHarvested;COR_IR
Iran;2222000;AreaHarvested;SBS_IR
Iran;2224000;AreaHarvested;SFS_IR
Iran;2226000;AreaHarvested;RPS_IR
Iraq;410000;AreaHarvested;WHT_IQ
Iraq;440000;AreaHarvested;COR_IQ
Israel;410000;AreaHarvested;WHT_IL
Israel;2224000;AreaHarvested;SFS_IL
Jamaica;440000;AreaHarvested;COR_JM
Japan;410000;AreaHarvested;WHT_JP
Japan;440000;AreaHarvested;COR_JP
Japan;2221000;AreaHarvested;PNS_JP
Japan;2222000;AreaHarvested;SBS_JP
Japan;2226000;AreaHarvested;RPS_JP
Jordan;410000;AreaHarvested;WHT_JO
Jordan;440000;AreaHarvested;COR_JO
Kazakhstan;410000;AreaHarvested;WHT_KZ
Kazakhstan;440000;AreaHarvested;COR_KZ
Kazakhstan;2222000;AreaHarvested;SBS_KZ
Kazakhstan;2224000;AreaHarvested;SFS_KZ
Kazakhstan;2226000;AreaHarvested;RPS_KZ
Kenya;410000;AreaHarvested;WHT_KE
Kenya;440000;AreaHarvested;COR_KE
Korea, North;410000;AreaHarvested;WHT_KR
Korea, North;440000;AreaHarvested;COR_KR
Korea, North;2222000;AreaHarvested;SBS_KR
Korea, South;410000;AreaHarvested;WHT_KP
Korea, South;440000;AreaHarvested;COR_KP
Korea, South;2221000;AreaHarvested;PNS_KP
Korea, South;2222000;AreaHarvested;SBS_KP
Korea, South;2226000;AreaHarvested;RPS_KP
Kyrgyzstan;410000;AreaHarvested;WHT_KG
Kyrgyzstan;440000;AreaHarvested;COR_KG
Laos;440000;AreaHarvested;COR_LA
Lebanon;410000;AreaHarvested;WHT_LB
Lebanon;440000;AreaHarvested;COR_LB
Lesotho;410000;AreaHarvested;WHT_LS
Lesotho;440000;AreaHarvested;COR_LS
Liberia;2232000;AreaHarvested;PKS_LR
Liberia;4243000;AreaHarvested;PAO_LR
Libya;410000;AreaHarvested;WHT_LY
Madagascar;440000;AreaHarvested;COR_MG
Malawi;410000;AreaHarvested;WHT_MW
Malawi;440000;AreaHarvested;COR_MW
Malawi;2221000;AreaHarvested;PNS_MW
Malaysia;440000;AreaHarvested;COR_MY
Malaysia;2221000;AreaHarvested;PNS_MY
Malaysia;2231000;AreaHarvested;CPO_MY
Malaysia;2232000;AreaHarvested;PKS_MY
Malaysia;4243000;AreaHarvested;PAO_MY
Mali;410000;AreaHarvested;WHT_ML
Mali;440000;AreaHarvested;COR_ML
Mali;2221000;AreaHarvested;PNS_ML
Mauritania;440000;AreaHarvested;COR_MR
Mexico;410000;AreaHarvested;WHT_MX
Mexico;440000;AreaHarvested;COR_MX
Mexico;2221000;AreaHarvested;PNS_MX
Mexico;2222000;AreaHarvested;SBS_MX
Mexico;2224000;AreaHarvested;SFS_MX
Mexico;2226000;AreaHarvested;RPS_MX
Mexico;2231000;AreaHarvested;CPO_MX
Mexico;4243000;AreaHarvested;PAO_MX
Moldova;410000;AreaHarvested;WHT_MD
Moldova;440000;AreaHarvested;COR_MD
Moldova;2224000;AreaHarvested;SFS_MD
Moldova;2226000;AreaHarvested;RPS_MD
