id,Código_Produto,Classificação,Subproduto,Local,Fetch_Status,bolsa,roda,fonte,tav,subtav,decimais,correlatos,empresa,contrato,subproduto_id,entcode,nome,longo,descr,codf,bd,palavras,habilitado,lote,rep,vln,dia,freq,dex,inserido,alterado,created_at,updated_at
211,D_ClD3Pr_US_2020,Celulose,"Cellulosic RIN D3",EUA,Success,2,50,3,T,,4,10,,,2397,PRPR019607,"Cellulosic Rin D3 2020 Price","DATAGRO Daily Cellulosic Rin D3 2020 Price Price USD/GAL USA","DATAGRO Daily Cellulosic Rin D3 2020 Price Price USD/GAL USA",D_ClD3Pr_US_2020,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:52:57.000000Z
212,D_ClD3Pr_US_2021,Celulose,"Cellulosic RIN D3",EUA,Success,2,50,3,T,,4,10,,,2397,,"Cellulosic Rin D3 2021 Price","DATAGRO Daily Cellulosic Rin D3 2021 Price Price USD/GAL USA","DATAGRO Daily Cellulosic Rin D3 2021 Price Price USD/GAL USA",,,,1,,0,,0,D,,"2021-07-12 12:03:51","2021-07-12 12:03:51",,2023-11-23T18:52:57.000000Z
213,D_ClD3Pr_US_2022,Celulose,"Cellulosic RIN D3",EUA,Success,2,50,3,T,,4,10,,,2397,,"Cellulosic Rin D3 2022 Price","DATAGRO Daily Cellulosic Rin D3 2022 Price Price USD/GAL USA","DATAGRO Daily Cellulosic Rin D3 2022 Price Price USD/GAL USA",,,,1,0,0,0,0,D,0000-00-00,"0000-00-00 00:00:00","2022-01-03 13:56:29",,2023-11-23T18:53:13.000000Z
214,D_ClD3Pr_US_2023,Celulose,"Cellulosic RIN D3",EUA,Success,2,50,3,T,,4,10,,,2397,,"Cellulosic Rin D3 2023 Price","DATAGRO Daily Cellulosic Rin D3 2023 Price Price USD/GAL USA","DATAGRO Daily Cellulosic Rin D3 2023 Price Price USD/GAL USA",,,,1,0,0,0,0,D,,"2022-09-15 19:21:43","2022-09-15 19:21:43",,2023-11-23T18:53:14.000000Z
215,EPPr_N_M_BR,Energia,"All Types",Norte,Success,2,50,296,T,,2,10018,,,2020,,"CCEE PLD Mensal Norte","CCEE Monthly Eletric Power Brl/Mwh North Brazil","CCEE Monthly Eletric Power Brl/Mwh North Brazil",,,,1,0,0,0,1,M,0000-00-00,"2022-05-02 16:12:16","2022-05-03 17:23:55",,2023-11-23T21:23:47.000000Z
216,EPPr_N_W_BR,Energia,"All Types",Norte,Failed,2,50,296,T,,2,10018,,,2020,,"CCEE PLD Semanal Norte","CCEE Weekly Eletric Power Brl/Mwh North Brazil","CCEE Weekly Eletric Power Brl/Mwh North Brazil",,,,1,0,0,0,1,W,0000-00-00,"2022-05-02 16:12:16","2022-05-03 17:23:55",,2023-11-23T18:53:14.000000Z
217,EPPr_NE_M_BR,Energia,"All Types",Nordeste,Success,2,50,296,T,,2,10018,,,2020,,"CCEE PLD Mensal Nordeste","CCEE Monthly Eletric Power Price Brl/Mwh Northeast Brazil","CCEE Monthly Eletric Power Price Brl/Mwh Northeast Brazil",,,,1,0,0,0,1,M,0000-00-00,"2022-05-02 16:12:16","2022-05-03 17:23:55",,2023-11-23T21:23:48.000000Z
218,EPPr_NE_W_BR,Energia,"All Types",Nordeste,Failed,2,50,296,T,,2,10018,,,2020,,"CCEE PLD Semanal Nordeste","CCEE Weekly Eletric Power Price Brl/Mwh Northeast Brazil","CCEE Weekly Eletric Power Price Brl/Mwh Northeast Brazil",,,,1,0,0,0,1,W,0000-00-00,"2022-05-02 16:12:16","2022-05-03 17:23:55",,2023-11-23T18:53:15.000000Z
219,EPPr_S_M_BR,Energia,"All Types",Sul,Success,2,50,296,T,,2,10018,,,2020,,"CCEE PLD Mensal Sul","CCEE Monthly Eletric Power Price Brl/Mwh South Brazil","CCEE Monthly Eletric Power Price Brl/Mwh South Brazil",,,,1,0,0,0,1,M,0000-00-00,"2022-05-02 16:12:16","2022-05-03 17:23:55",,2023-11-23T21:23:49.000000Z
220,EPPr_S_W_BR,Energia,"All Types",Sul,Failed,2,50,296,T,,2,10018,,,2020,,"CCEE PLD Semanal Sul","CCEE Weekly Eletric Power Price Brl/Mwh South Brazil","CCEE Weekly Eletric Power Price Brl/Mwh South Brazil",,,,1,0,0,0,1,W,0000-00-00,"2022-05-02 16:12:16","2022-05-03 17:23:55",,2023-11-23T18:53:16.000000Z
221,EPPr_SW_M_BR,Energia,"All Types",Sudeste,Success,2,50,296,T,,2,10018,,,2020,,"CCEE PLD Mensal SE/CO","CCEE Monthly Eletric Power Price Brl/Mwh Southeast and Center West Brazil","CCEE Monthly Eletric Power Price Brl/Mwh Southeast and Center West Brazil",,,,1,0,0,0,1,M,0000-00-00,"2022-05-02 16:12:16","2022-05-03 17:23:55",,2023-11-23T21:23:51.000000Z
222,EPPr_SW_W_BR,Energia,"All Types",Sudeste,Failed,2,50,296,T,,2,10018,,,2020,,"CCEE PLD Semanal SE/CO","CCEE Weekly Eletric Power Price Brl/Mwh Southeast and Center West Brazil","CCEE Weekly Eletric Power Price Brl/Mwh Southeast and Center West Brazil",,,,1,0,0,0,1,W,0000-00-00,"2022-05-02 16:12:16","2022-05-03 17:23:55",,2023-11-23T18:53:17.000000Z
223,D_EtAnEq_NN_BR,Etanol,"Anhydrous Ethanol",Nordeste,Success,2,50,3,T,,2,10,,,1977,PREQ000132,"Ethanol Anhydrous FOB Eq NNE","DATAGRO Daily Ethanol FOB Anhydrous Price Equivalency USD cents/lb Region North Northeast Brazil","DATAGRO Daily Ethanol FOB Anhydrous Price Equivalency USD cents/lb Region North Northeast Brazil",D_EtAnEq_NN_BR,,,1,,3,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:31:26",,2023-11-23T18:53:21.000000Z
224,D_EtAnEq_Qu_BR,Etanol,"Anhydrous Ethanol",Quirinópolis,Success,2,50,3,T,,2,10,,,1977,PREQ000134,"Ethanol Anhydrous FOB Eq Quirinopolis","DATAGRO Daily Ethanol FOB Anhydrous Price Equivalency USD cents/lb Quirinopolis Goias Brazil","DATAGRO Daily Ethanol FOB Anhydrous Price Equivalency USD cents/lb Quirinopolis Goias Brazil",D_EtAnEq_Qu_BR,,,1,,3,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:31:26",,2023-11-23T18:53:24.000000Z
225,D_EtAnEq_Rp_BR,Etanol,"Anhydrous Ethanol","Ribeirão Preto",Success,2,50,3,T,,2,10,,,1977,PREQ000129,"Ethanol Anhydrous FOB Eq Rib Preto","DATAGRO Daily Ethanol FOB Anhydrous Price Equivalency USD cents/lb Ribeirao Preto Region Center South Sao Paulo Brazil","DATAGRO Daily Ethanol FOB Anhydrous Price Equivalency USD cents/lb Ribeirao Preto Region Center South Sao Paulo Brazil",D_EtAnEq_Rp_BR,,,1,,3,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:31:26",,2023-11-23T18:53:28.000000Z
226,D_EtAnEx_Sa_BR,Etanol,"Anhydrous Ethanol",Santos,Failed,2,50,3,T,,2,10,,,1977,PRPEX010002,"Ethanol FCA Anhydrous Exports Santos","DATAGRO Weekly Ethanol FCA Anhydrous Price Exports Bulk USD/MT Santos Region Center South Sao Paulo Brazil","DATAGRO Weekly Ethanol FCA Anhydrous Price Exports Bulk USD/MT Santos Region Center South Sao Paulo Brazil",D_EtAnEx_Sa_BR,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:53:28.000000Z
227,D_EtAnEx_Sa_BR_1,Etanol,"Anhydrous Ethanol",Santos,Success,2,50,3,T,,1,10,,,1977,PRPEX010003,"Ethanol FOB Anhydrous Exports Santos","DATAGRO Weekly Ethanol FOB Anhydrous Price Exports Bulk USD/MT Santos Region Center South Sao Paulo Brazil","DATAGRO Weekly Ethanol FOB Anhydrous Price Exports Bulk USD/MT Santos Region Center South Sao Paulo Brazil",D_EtAnEx_Sa_BR_1,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T21:24:11.000000Z
228,D_EtAnPr_Go_BR_1,Etanol,"Anhydrous Ethanol",Goiás,Success,2,50,3,T,,4,10,,,1977,PRPR019500,"Ethanol Anhydrous W/ GO","DATAGRO Daily Ethanol Anhydrous W/taxes Price BRL/L Goias Brazil","DATAGRO Daily Ethanol Anhydrous W/taxes Price BRL/L Goias Brazil",D_EtAnPr_Go_BR_1,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:53:33.000000Z
229,D_EtAnPr_Ms_BR,Etanol,"Anhydrous Ethanol","Mato Grosso do Sul",Success,2,50,3,T,,1,10,,,1977,PRPR006397,"Ethanol Anhydrous MS","DATAGRO Daily Ethanol Anhydrous Price BRL/L Mato Grosso do Sul Brazil","DATAGRO Daily Ethanol Anhydrous Price BRL/L Mato Grosso do Sul Brazil",D_EtAnPr_Ms_BR,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:53:33.000000Z
230,D_EtAnPr_NN_BR,Etanol,"Anhydrous Ethanol",Nordeste,Success,2,50,3,T,,4,10,,,1977,PRPR000183,"Ethanol Anhydrous NNE","DATAGRO Daily Ethanol Anhydrous Price BRL/L Region North Northeast Brazil","DATAGRO Daily Ethanol Anhydrous Price BRL/L Region North Northeast Brazil",D_EtAnPr_NN_BR,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:53:37.000000Z
231,D_EtAnPr_NN_BR_1,Etanol,"Anhydrous Ethanol",Nordeste,Success,2,50,3,T,,4,10,,,1977,PRPR019491,"Ethanol Anhydrous W/ NNE","DATAGRO Daily Ethanol Anhydrous W/taxes Price BRL/L Region North Northeast Brazil","DATAGRO Daily Ethanol Anhydrous W/taxes Price BRL/L Region North Northeast Brazil",D_EtAnPr_NN_BR_1,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:53:40.000000Z
232,D_EtAnPr_Ou_BR,Etanol,"Anhydrous Ethanol",Ourinhos,Success,2,50,,T,,2,10,,,1977,PRPR019619,"Ethanol Anhydrous Ourinhos","DATAGRO Weekly Ethanol Anhydrous Price BRL/L Ourinhos Sao Paulo Brazil","DATAGRO Weekly Ethanol Anhydrous Price BRL/L Ourinhos Sao Paulo Brazil",D_EtAnPr_Ou_BR,,,1,0,9,0,1,D,,"2020-09-18 22:17:39","2022-05-18 23:53:04",,2023-11-23T18:53:43.000000Z
233,D_EtAnPr_Pa_BR,Etanol,"Anhydrous Ethanol",Paulínia,Success,2,50,,T,,2,10,,,1977,PRPR019620,"Ethanol Anhydrous Paulinia","DATAGRO Weekly Ethanol Anhydrous Price BRL/L Paulinia Sao Paulo  Brazil","DATAGRO Weekly Ethanol Anhydrous Price BRL/L Paulinia Sao Paulo  Brazil",D_EtAnPr_Pa_BR,,,1,0,9,0,1,D,,"2020-09-18 22:17:39","2022-05-18 23:53:04",,2023-11-23T18:53:46.000000Z
234,D_EtAnPr_Pr_BR,Etanol,"Anhydrous Ethanol",Paraná,Success,2,50,3,T,,2,10,,,1977,PRPR006399,"Ethanol Anhydrous PR","DATAGRO Daily Ethanol Anhydrous Price BRL/L Parana Brazil","DATAGRO Daily Ethanol Anhydrous Price BRL/L Parana Brazil",D_EtAnPr_Pr_BR,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:53:50.000000Z
235,D_EtAnPr_Pr_BR_1,Etanol,"Anhydrous Ethanol",Paraná,Success,2,50,3,T,,4,10,,,1977,PRPR019499,"Ethanol Anhydrous W/ PR","DATAGRO Daily Ethanol Anhydrous W/taxes Price BRL/L Parana Brazil","DATAGRO Daily Ethanol Anhydrous W/taxes Price BRL/L Parana Brazil",D_EtAnPr_Pr_BR_1,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:53:55.000000Z
236,D_EtAnPr_Rp_BR,Etanol,"Anhydrous Ethanol","Ribeirão Preto",Success,2,50,,T,,2,10,,,1977,PRPR019618,"Ethanol Anhydrous Rib Preto","DATAGRO Weekly Ethanol Anhydrous Price BRL/L Ribeirão Preto Sao Paulo Brazil","DATAGRO Weekly Ethanol Anhydrous Price BRL/L Ribeirão Preto Sao Paulo Brazil",D_EtAnPr_Rp_BR,,,1,0,9,0,1,D,,"2020-09-18 22:17:39","2022-05-18 23:53:04",,2023-11-23T18:53:58.000000Z
237,D_EtAnPr_Sp_BR,Etanol,"Anhydrous Ethanol","São Paulo",Success,2,50,3,T,,4,10,,,1977,PRPR006393,"Ethanol Anhydrous SP","DATAGRO Daily Ethanol Anhydrous Price BRL/L Sao Paulo Brazil","DATAGRO Daily Ethanol Anhydrous Price BRL/L Sao Paulo Brazil",D_EtAnPr_Sp_BR,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:54:02.000000Z
238,D_EtAnPr_Sp_BR_1,Etanol,"Anhydrous Ethanol","São Paulo",Success,2,50,3,T,,4,10,,,1977,PRPR019493,"Ethanol Anhydrous W/ SP","DATAGRO Daily Ethanol Anhydrous W/taxes Price BRL/L Sao Paulo Brazil","DATAGRO Daily Ethanol Anhydrous W/taxes Price BRL/L Sao Paulo Brazil",D_EtAnPr_Sp_BR_1,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:54:06.000000Z
239,D_EtD5As_US_2018,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,PRAS019518,"Ethanol Rin D5 2018 Ask","DATAGRO Daily Ethanol Rin D5 2018 Price Ask USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2018 Price Ask USD/GAL USA",D_EtD5As_US_2018,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:54:07.000000Z
240,D_EtD5As_US_2019,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,PRAS019530,"Ethanol Rin D5 2019 Ask","DATAGRO Daily Ethanol Rin D5 2019 Price Ask USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2019 Price Ask USD/GAL USA",D_EtD5As_US_2019,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:54:07.000000Z
241,D_EtD5As_US_2020,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,PRAS019611,"Ethanol Rin D5 2020 Ask","DATAGRO Daily Ethanol Rin D5 2020 Price Ask USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2020 Price Ask USD/GAL USA",D_EtD5As_US_2020,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:54:08.000000Z
242,D_EtD5As_US_2021,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,,"Ethanol Rin D5 2021 Ask","DATAGRO Daily Ethanol Rin D5 2021 Price Ask USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2021 Price Ask USD/GAL USA",,,,1,,0,,0,D,,"2021-09-14 12:11:02","2022-01-03 13:53:14",,2023-11-23T18:54:09.000000Z
243,D_EtD5As_US_2022,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,,"Ethanol Rin D5 2022 Ask","DATAGRO Daily Ethanol Rin D5 2022 Price Ask USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2022 Price Ask USD/GAL USA",,,,1,0,0,0,0,D,0000-00-00,"0000-00-00 00:00:00","2022-01-03 13:56:30",,2023-11-23T18:54:24.000000Z
244,D_EtD5As_US_2023,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,,"Ethanol Rin D5 2023 Ask","DATAGRO Daily Ethanol Rin D5 2023 Price Ask USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2023 Price Ask USD/GAL USA",,,,1,0,0,0,0,D,,"2022-09-15 19:21:44","2022-09-15 19:21:44",,2023-11-23T18:54:25.000000Z
245,D_EtD5Bi_US_2018,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,PRBI019519,"Ethanol Rin D5 2018 Bid","DATAGRO Daily Ethanol Rin D5 2018 Price Bid USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2018 Price Bid USD/GAL USA",D_EtD5Bi_US_2018,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:54:25.000000Z
246,D_EtD5Bi_US_2019,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,PRBI019531,"Ethanol Rin D5 2019 Bid","DATAGRO Daily Ethanol Rin D5 2019 Price Bid USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2019 Price Bid USD/GAL USA",D_EtD5Bi_US_2019,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:54:26.000000Z
247,D_EtD5Bi_US_2020,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,PRBI019612,"Ethanol Rin D5 2020 Bid","DATAGRO Daily Ethanol Rin D5 2020 Price Bid USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2020 Price Bid USD/GAL USA",D_EtD5Bi_US_2020,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:54:27.000000Z
248,D_EtD5Bi_US_2021,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,,"Ethanol Rin D5 2021 Bid","DATAGRO Daily Ethanol Rin D5 2021 Price Bid USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2021 Price Bid USD/GAL USA",,,,1,,0,,0,D,,"2021-09-14 12:11:02","2021-09-14 12:11:02",,2023-11-23T18:54:27.000000Z
249,D_EtD5Bi_US_2022,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,,"Ethanol Rin D5 2022 Bid","DATAGRO Daily Ethanol Rin D5 2022 Price Bid USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2022 Price Bid USD/GAL USA",,,,1,0,0,0,0,D,0000-00-00,"0000-00-00 00:00:00","2022-01-03 13:56:31",,2023-11-23T18:54:43.000000Z
250,D_EtD5Bi_US_2023,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,,"Ethanol Rin D5 2023 Bid","DATAGRO Daily Ethanol Rin D5 2023 Price Bid USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2023 Price Bid USD/GAL USA",,,,1,0,0,0,0,D,,"2022-09-15 19:21:44","2022-09-15 19:21:44",,2023-11-23T18:54:43.000000Z
251,D_EtD5Pr_US_2018,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,PRPR019520,"Ethanol Rin D5 2018 Price","DATAGRO Daily Ethanol Rin D5 2018 Price Price USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2018 Price Price USD/GAL USA",D_EtD5Pr_US_2018,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:54:44.000000Z
252,D_EtD5Pr_US_2019,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,PRPR019532,"Ethanol Rin D5 2019 Price","DATAGRO Daily Ethanol Rin D5 2019 Price Price USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2019 Price Price USD/GAL USA",D_EtD5Pr_US_2019,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:54:45.000000Z
253,D_EtD5Pr_US_2020,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,PRPR019613,"Ethanol Rin D5 2020 Price","DATAGRO Daily Ethanol Rin D5 2020 Price Price USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2020 Price Price USD/GAL USA",D_EtD5Pr_US_2020,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:54:45.000000Z
254,D_EtD5Pr_US_2021,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,,"Ethanol Rin D5 2021 Price","DATAGRO Daily Ethanol Rin D5 2021 Price Price USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2021 Price Price USD/GAL USA",,,,1,,0,,0,D,,"2021-09-14 12:11:02","2021-09-14 12:11:02",,2023-11-23T18:54:45.000000Z
255,D_EtD5Pr_US_2022,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,,"Ethanol Rin D5 2022 Price","DATAGRO Daily Ethanol Rin D5 2022 Price Price USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2022 Price Price USD/GAL USA",,,,1,0,0,0,0,D,0000-00-00,"0000-00-00 00:00:00","2022-01-03 13:56:31",,2023-11-23T18:55:02.000000Z
256,D_EtD5Pr_US_2023,Etanol,"Ethanol RIN D5",EUA,Success,2,50,3,T,,3,10,,,2121,,"Ethanol Rin D5 2023 Price","DATAGRO Daily Ethanol Rin D5 2023 Price Price USD/GAL USA","DATAGRO Daily Ethanol Rin D5 2023 Price Price USD/GAL USA",,,,1,0,0,0,0,D,,"2022-09-15 19:21:45","2022-09-15 19:21:45",,2023-11-23T18:55:02.000000Z
257,D_EtHyEq_Go_BR,Etanol,"Hydrous Ethanol",EUA,Success,2,50,3,T,,2,10,,,1978,PREQ000133,"Ethanol Hydrous FOB Eq Quirinopolis","DATAGRO Daily Ethanol FOB Hydrous Price Equivalency USD cents/lb Quirinopolis Goias Brazil","DATAGRO Daily Ethanol FOB Hydrous Price Equivalency USD cents/lb Quirinopolis Goias Brazil",D_EtHyEq_Go_BR,,,1,,3,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:31:26",,2023-11-23T18:55:06.000000Z
258,D_EtHyEq_NN_BR,Etanol,"Hydrous Ethanol",Nordeste,Success,2,50,3,T,,2,10,,,1978,PREQ000131,"Ethanol Hydrous FOB Eq NNE","DATAGRO Daily Ethanol FOB Hydrous Price Equivalency USD cents/lb Region North Northeast Brazil","DATAGRO Daily Ethanol FOB Hydrous Price Equivalency USD cents/lb Region North Northeast Brazil",D_EtHyEq_NN_BR,,,1,,3,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:31:26",,2023-11-23T18:55:09.000000Z
259,D_EtHyEq_Rp_BR,Etanol,"Hydrous Ethanol","Ribeirão Preto",Success,2,50,3,T,,2,10,,,1978,PREQ000128,"Ethanol Hydrous FOB Eq Rib Preto","DATAGRO Daily Ethanol FOB Hydrous Price Equivalency USD cents/lb Ribeirao Preto Region Center South Sao Paulo Brazil","DATAGRO Daily Ethanol FOB Hydrous Price Equivalency USD cents/lb Ribeirao Preto Region Center South Sao Paulo Brazil",D_EtHyEq_Rp_BR,,,1,,3,,1,D,,"2020-02-19 20:27:38","2022-05-18 23:31:26",,2023-11-23T18:55:13.000000Z
260,D_EtHyPr_Go_BR,Etanol,"Hydrous Ethanol",Goiás,Success,2,50,3,T,,5,10,,,1978,PRPR006395,"Ethanol Hydrous GO","DATAGRO Daily Ethanol Hydrous Price BRL/L Goias Brazil","DATAGRO Daily Ethanol Hydrous Price BRL/L Goias Brazil",D_EtHyPr_Go_BR,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:55:16.000000Z
261,D_EtHyPr_Go_BR_1,Etanol,"Hydrous Ethanol",Goiás,Success,2,50,3,T,,5,10,,,1978,PRPR019495,"Ethanol Hydrous W/ GO","DATAGRO Daily Ethanol Hydrous W/taxes Price BRL/L Goias Brazil","DATAGRO Daily Ethanol Hydrous W/taxes Price BRL/L Goias Brazil",D_EtHyPr_Go_BR_1,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:55:20.000000Z
262,D_EtHyPr_Mg_BR,Etanol,"Hydrous Ethanol","Minas Gerais",Success,2,50,3,T,,4,10,,,1978,PRPR006396,"Ethanol Hydrous MG","DATAGRO Daily Ethanol Hydrous Price BRL/L Minas Gerais Brazil","DATAGRO Daily Ethanol Hydrous Price BRL/L Minas Gerais Brazil",D_EtHyPr_Mg_BR,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:55:24.000000Z
263,D_EtHyPr_Mg_BR_1,Etanol,"Hydrous Ethanol","Minas Gerais",Success,2,50,3,T,,4,10,,,1978,PRPR019496,"Ethanol Hydrous W/ MG","DATAGRO Daily Ethanol Hydrous W/taxes Price BRL/L Minas Gerais Brazil","DATAGRO Daily Ethanol Hydrous W/taxes Price BRL/L Minas Gerais Brazil",D_EtHyPr_Mg_BR_1,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:55:28.000000Z
264,D_EtHyPr_Ms_BR,Etanol,"Hydrous Ethanol","Mato Grosso do Sul",Success,2,50,3,T,,4,10,,,1978,PRPR006398,"Ethanol Hydrous MS","DATAGRO Daily Ethanol Hydrous Price BRL/L Mato Grosso do Sul Brazil","DATAGRO Daily Ethanol Hydrous Price BRL/L Mato Grosso do Sul Brazil",D_EtHyPr_Ms_BR,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:55:32.000000Z
265,D_EtHyPr_Ms_BR_1,Etanol,"Hydrous Ethanol","Mato Grosso do Sul",Success,2,50,3,T,,3,10,,,1978,PRPR019497,"Ethanol Hydrous W/ MS","DATAGRO Daily Ethanol Hydrous W/taxes Price BRL/L Mato Grosso do Sul Brazil","DATAGRO Daily Ethanol Hydrous W/taxes Price BRL/L Mato Grosso do Sul Brazil",D_EtHyPr_Ms_BR_1,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:55:32.000000Z
266,D_EtHyPr_NN_BR,Etanol,"Hydrous Ethanol",Nordeste,Success,2,50,3,T,,4,10,,,1978,PRPR000184,"Ethanol Hydrous NNE","DATAGRO Daily Ethanol Hydrous Price BRL/L Region North Northeast Brazil","DATAGRO Daily Ethanol Hydrous Price BRL/L Region North Northeast Brazil",D_EtHyPr_NN_BR,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:55:36.000000Z
267,D_EtHyPr_NN_BR_1,Etanol,"Hydrous Ethanol",Nordeste,Success,2,50,3,T,,4,10,,,1978,PRPR019492,"Ethanol Hydrous W/ NNE","DATAGRO Daily Ethanol Hydrous W/taxes Price BRL/L Region North Northeast Brazil","DATAGRO Daily Ethanol Hydrous W/taxes Price BRL/L Region North Northeast Brazil",D_EtHyPr_NN_BR_1,,,1,,9,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:53:04",,2023-11-23T18:55:39.000000Z
268,D_EtHYPr_Ou_BR,Etanol,"Hydrous Ethanol",Ourinhos,Success,2,50,,T,,2,10,,,1978,PRPR019622,"Ethanol Hydrous Ourinhos","DATAGRO Weekly Ethanol Hydrous Price BRL/L Ourinhos Sao Paulo Brazil","DATAGRO Weekly Ethanol Hydrous Price BRL/L Ourinhos Sao Paulo Brazil",D_EtHYPr_Ou_BR,,,1,0,9,0,1,D,,"2020-09-18 22:17:39","2022-05-18 23:53:04",,2023-11-23T18:55:41.000000Z
