id,Código_Produto,Classificação,Subproduto,Local,Fetch_Status,bolsa,roda,fonte,tav,subtav,decimais,correlatos,empresa,contrato,subproduto_id,entcode,nome,longo,descr,codf,bd,palavras,habilitado,lote,rep,vln,dia,freq,dex,inserido,alterado,created_at,updated_at
13,D_SuWtPm_GB,Açúcar,"White Sugar",,Success,2,50,3,T,,4,10,,,1975,PRPM015110,"Sugar Premium London x NY","DATAGRO Daily Sugar White Price Premium USD/MT London vs New York ICE First Future","DATAGRO Daily Sugar White Price Premium USD/MT London vs New York ICE First Future",D_SuWtPm_GB,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:31:17.000000Z
14,GuGuPr_Mu_IN,Açúcar,Gur,,Success,2,50,,T,,2,10,,,1574,PRPR000694,"Gur Muzaffarnagar Uttar Pradesh","NCDEX Daily Gur Price INR/100 kg Muzaffarnagar Uttar Pradesh India","NCDEX Daily Gur Price INR/100 kg Muzaffarnagar Uttar Pradesh India",GuGuPr_Mu_IN,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 22:17:39",,2023-11-23T18:31:17.000000Z
15,Pr_GB_40,Açúcar,,,Success,2,50,,T,,2,10,,,999,PRPR019336,"Containerised White Sugar FOB Front Month Europe","ICE Futures Daily Containerised White Sugar FOB Front Month Price USD/MT Europe","ICE Futures Daily Containerised White Sugar FOB Front Month Price USD/MT Europe",Pr_GB_40,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 22:17:39",,2023-11-23T18:31:18.000000Z
16,SCPr_Pr_BR,Açúcar,,Paraná,Failed,2,50,24,T,,2,10,,,999,PRMO000125,"Sugar Cane Parana","Alcopar Monthly Sugar Cane Delivered at Plant Price Month BRL/MT Parana Brazil","Alcopar Monthly Sugar Cane Delivered at Plant Price Month BRL/MT Parana Brazil",,,,1,0,0,0,1,M,,"2021-05-06 22:52:42","2021-05-06 22:52:42",,2023-11-23T14:49:52.000000Z
17,SCPr_Pr_BR_1,Açúcar,,Paraná,Failed,2,50,24,T,,2,10,,,999,PRAC000126,"Sugar Cane Accumulated Parana","Alcopar Monthly Sugar Cane Delivered at Plant Price Accumulated BRL/MT Parana Brazil","Alcopar Monthly Sugar Cane Delivered at Plant Price Accumulated BRL/MT Parana Brazil",,,,1,0,0,0,1,M,,"2021-05-06 22:52:42","2021-05-06 22:52:42",,2023-11-23T14:49:53.000000Z
18,SCPr_Sp_BR_1,Açúcar,,"São Paulo",Failed,2,50,,T,,2,10,,,999,,"IEA Annual Sugar Cane SP","IEA Annual Sugar Cane SP","IEA Annual Sugar Cane Price BRL/MT Sao Paulo Brazil",,,,1,,,,1,D,,"2022-02-08 12:50:53","2022-02-08 12:50:53",,2023-11-23T14:49:53.000000Z
19,SCPr_Sp_BR_2,Açúcar,,"São Paulo",Success,2,50,,T,,2,10,,,999,,"Sugar Cane Wholesale SP","IEA Monthly Sugar Cane Wholesale SP","IEA Monthly Sugar Cane Price Wholesale BRL/MT Sao Paulo Brazil",,,,1,,,,1,D,,"2022-02-08 12:50:53","2022-02-08 12:50:53",,2023-11-23T21:00:53.000000Z
20,SCPr_Sp_BR_3,Açúcar,,"São Paulo",Success,2,50,,T,,2,10,,,999,PRAC000120,"Sugar Cane On Field Accumulated SP","Consecana SP Monthly Sugar Cane On Field Price Accumulated BRL/MT Sao Paulo Brazil","Consecana SP Monthly Sugar Cane On Field Price Accumulated BRL/MT Sao Paulo Brazil",,,,1,0,0,0,1,D,,"2020-09-18 22:32:01","2022-02-08 12:50:53",,2023-11-23T18:31:19.000000Z
21,SCPr_Sp_BR_4,Açúcar,,"São Paulo",Success,2,50,,T,,2,10,,,999,PRMO000121,"Sugar Cane at Plant SP","Consecana SP Monthly Sugar Cane Delivered at Plant Price Month BRL/MT Sao Paulo Brazil","Consecana SP Monthly Sugar Cane Delivered at Plant Price Month BRL/MT Sao Paulo Brazil",,,,1,0,0,0,1,D,,"2020-09-18 22:32:01","2022-02-08 12:50:53",,2023-11-23T18:31:19.000000Z
22,SCPr_Sp_BR_5,Açúcar,,"São Paulo",Success,2,50,,T,,2,10,,,999,PRAC000122,"Sugar Cane at Plant Accumulated SP","Consecana SP Monthly Sugar Cane Delivered at Plant Price Accumulated BRL/MT Sao Paulo Brazil","Consecana SP Monthly Sugar Cane Delivered at Plant Price Accumulated BRL/MT Sao Paulo Brazil",,,,1,0,0,0,1,D,,"2020-09-18 22:32:01","2022-02-08 12:50:53",,2023-11-23T18:31:19.000000Z
