CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO,NO_NCM_POR,SG_UNID,NO_PAIS,NO_UF,NO_REGIAO,NO_VIA,NO_URF
2016,5,10019900,10,586,PR,7,910600,9193890,9193890,1533710,66876,109,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Paraná,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,12,23040010,21,249,PR,1,817800,39,39480,80141,1301,61,"Farinhas e pellets, da extração do óleo de soja",TML  ,Estados Unidos,Paraná,REGIAO SUL,MARITIMA,0817800 - PORTO DE SANTOS
2016,8,11010010,10,63,PR,7,920351,85500,85500,27930,4300,0,Farinha de trigo,KGL  ,Argentina,Paraná,REGIAO SUL,RODOVIARIA,0920351 - DIONISIO CERQUEIRA
2016,1,10019900,10,845,RS,7,1015600,224000,224000,39088,4480,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Uruguai,Rio Grande do Sul,REGIAO SUL,RODOVIARIA,1015600 - SANTANA DO LIVRAMENTO
2016,9,11010010,10,586,MS,7,910600,234000,234000,75870,5260,0,Farinha de trigo,KGL  ,Paraguai,Mato Grosso do Sul,REGIAO CENTRO OESTE,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,11,11010010,10,845,SC,7,1010252,27500,27500,9763,688,0,Farinha de trigo,KGL  ,Uruguai,Santa Catarina,REGIAO SUL,RODOVIARIA,1010252 - JAGUARAO
2016,12,10019900,10,586,RS,7,910600,3000000,3000000,491950,60020,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Rio Grande do Sul,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,9,11010010,10,386,SP,1,817800,28290,28290,21109,1585,9,Farinha de trigo,KGL  ,Itália,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,8,10019900,10,431,SP,1,817800,8163,8163,10613,416,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Líbano,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,6,10059010,10,586,RS,7,910600,300000,300000,58500,5400,0,"Milho em grão, exceto para semeadura",KGL  ,Paraguai,Rio Grande do Sul,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,2,11010010,10,87,AP,1,217600,300000,300000,119506,24058,666,Farinha de trigo,KGL  ,Bélgica,Amapá,REGIAO NORTE,MARITIMA,0217600 - PORTO DE BELEM
2016,10,10019900,10,63,RS,1,1017700,15310000,15310000,2982266,179893,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Rio Grande do Sul,REGIAO SUL,MARITIMA,1017700 - PORTO DE RIO GRANDE
2016,12,11010010,10,386,SP,1,817800,5959,5959,4175,168,11,Farinha de trigo,KGL  ,Itália,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,3,11010010,10,63,SC,7,1010951,104000,104000,27040,3200,0,Farinha de trigo,KGL  ,Argentina,Santa Catarina,REGIAO SUL,RODOVIARIA,1010951 - ITAQUI
2016,8,10059010,10,63,PR,7,910600,224460,224460,67072,9970,148,"Milho em grão, exceto para semeadura",KGL  ,Argentina,Paraná,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,6,10019900,10,63,PE,1,415100,11800000,11800000,2356560,392468,941,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Pernambuco,REGIAO NORDESTE,MARITIMA,0415100 - IRF/RECIFE
2016,9,10019900,10,249,CE,1,317600,64564980,64564980,12342721,940725,2886,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Ceará,REGIAO NORDESTE,MARITIMA,0317600 - PORTO DE FORTALEZA
2016,12,11010010,10,63,RN,1,417800,292000,292000,101888,7680,716,Farinha de trigo,KGL  ,Argentina,Rio Grande do Norte,REGIAO NORDESTE,MARITIMA,0417800 - PORTO DE SUAPE
2016,11,10019900,10,845,RS,1,1017700,21057916,21057916,4370556,273753,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Uruguai,Rio Grande do Sul,REGIAO SUL,MARITIMA,1017700 - PORTO DE RIO GRANDE
2016,2,10019900,10,63,PE,1,415100,10950000,10950000,2189562,328722,1204,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Pernambuco,REGIAO NORDESTE,MARITIMA,0415100 - IRF/RECIFE
2016,7,11010010,10,63,ES,1,927700,270000,270000,83101,17037,0,Farinha de trigo,KGL  ,Argentina,Espírito Santo,REGIAO SUDESTE,MARITIMA,0927700 - PORTO DE SAO FRANCISCO DO SUL
2016,12,11010010,10,63,MS,7,910600,769500,769500,232418,32100,0,Farinha de trigo,KGL  ,Argentina,Mato Grosso do Sul,REGIAO CENTRO OESTE,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,8,23040010,21,249,RS,1,1017700,1,1000,1214,46,0,"Farinhas e pellets, da extração do óleo de soja",TML  ,Estados Unidos,Rio Grande do Sul,REGIAO SUL,MARITIMA,1017700 - PORTO DE RIO GRANDE
