Country;CommodityCode;Attribute
Honduras;2232000.0;AreaHarvested
Honduras;4243000.0;AreaHarvested
India;410000.0;AreaHarvested
India;440000.0;AreaHarvested
India;2221000.0;AreaHarvested
India;2222000.0;AreaHarvested
India;2224000.0;AreaHarvested
India;2226000.0;AreaHarvested
India;2231000.0;AreaHarvested
India;2232000.0;AreaHarvested
India;4243000.0;AreaHarvested
Indonesia;440000.0;AreaHarvested
Indonesia;2221000.0;AreaHarvested
Indonesia;2222000.0;AreaHarvested
Indonesia;2231000.0;AreaHarvested
Indonesia;2232000.0;AreaHarvested
Indonesia;4243000.0;AreaHarvested
Iran;410000.0;AreaHarvested
Iran;440000.0;AreaHarvested
Iran;2222000.0;AreaHarvested
Iran;2224000.0;AreaHarvested
Iran;2226000.0;AreaHarvested
Iraq;410000.0;AreaHarvested
Iraq;440000.0;AreaHarvested
Israel;410000.0;AreaHarvested
Israel;2224000.0;AreaHarvested
Jamaica;440000.0;AreaHarvested
Japan;410000.0;AreaHarvested
Japan;440000.0;AreaHarvested
Japan;2221000.0;AreaHarvested
Japan;2222000.0;AreaHarvested
Japan;2226000.0;AreaHarvested
Jordan;410000.0;AreaHarvested
Jordan;440000.0;AreaHarvested
Kazakhstan;410000.0;AreaHarvested
Kazakhstan;440000.0;AreaHarvested
Kazakhstan;2222000.0;AreaHarvested
Kazakhstan;2224000.0;AreaHarvested
Kazakhstan;2226000.0;AreaHarvested
Kenya;410000.0;AreaHarvested
Kenya;440000.0;AreaHarvested
Korea, North;410000.0;AreaHarvested
Korea, North;440000.0;AreaHarvested
Korea, North;2222000.0;AreaHarvested
Korea, South;410000.0;AreaHarvested
Korea, South;440000.0;AreaHarvested
Korea, South;2221000.0;AreaHarvested
Korea, South;2222000.0;AreaHarvested
Korea, South;2226000.0;AreaHarvested
Kyrgyzstan;410000.0;AreaHarvested
Kyrgyzstan;440000.0;AreaHarvested
Laos;440000.0;AreaHarvested
Lebanon;410000.0;AreaHarvested
Lebanon;440000.0;AreaHarvested
Lesotho;410000.0;AreaHarvested
Lesotho;440000.0;AreaHarvested
Liberia;2232000.0;AreaHarvested
Liberia;4243000.0;AreaHarvested
Libya;410000.0;AreaHarvested
Madagascar;440000.0;AreaHarvested
Malawi;410000.0;AreaHarvested
Malawi;440000.0;AreaHarvested
Malawi;2221000.0;AreaHarvested
Malaysia;440000.0;AreaHarvested
Malaysia;2221000.0;AreaHarvested
Malaysia;2231000.0;AreaHarvested
Malaysia;2232000.0;AreaHarvested
Malaysia;4243000.0;AreaHarvested
Mali;410000.0;AreaHarvested
Mali;440000.0;AreaHarvested
Mali;2221000.0;AreaHarvested
Mauritania;440000.0;AreaHarvested
Mexico;410000.0;AreaHarvested
Mexico;440000.0;AreaHarvested
Mexico;2221000.0;AreaHarvested
Mexico;2222000.0;AreaHarvested
Mexico;2224000.0;AreaHarvested
Mexico;2226000.0;AreaHarvested
Mexico;2231000.0;AreaHarvested
Mexico;4243000.0;AreaHarvested
Moldova;410000.0;AreaHarvested
Moldova;440000.0;AreaHarvested
Moldova;2224000.0;AreaHarvested
Moldova;2226000.0;AreaHarvested
Mongolia;410000.0;AreaHarvested
Morocco;410000.0;AreaHarvested
Morocco;440000.0;AreaHarvested
Morocco;2221000.0;AreaHarvested
Morocco;2224000.0;AreaHarvested
Morocco;2226000.0;AreaHarvested
Mozambique;410000.0;AreaHarvested
Mozambique;440000.0;AreaHarvested
Mozambique;2221000.0;AreaHarvested
Mozambique;2231000.0;AreaHarvested
Namibia;410000.0;AreaHarvested
Namibia;440000.0;AreaHarvested
Nepal;410000.0;AreaHarvested
Nepal;440000.0;AreaHarvested
New Zealand;410000.0;AreaHarvested
New Zealand;440000.0;AreaHarvested
Nicaragua;440000.0;AreaHarvested
Nicaragua;2221000.0;AreaHarvested
Nicaragua;2222000.0;AreaHarvested
Niger;2221000.0;AreaHarvested
Nigeria;410000.0;AreaHarvested
Nigeria;440000.0;AreaHarvested
Nigeria;2221000.0;AreaHarvested
Nigeria;2222000.0;AreaHarvested
Nigeria;2231000.0;AreaHarvested
Nigeria;2232000.0;AreaHarvested
Nigeria;4243000.0;AreaHarvested
North Macedonia;410000.0;AreaHarvested
North Macedonia;440000.0;AreaHarvested
North Macedonia;2224000.0;AreaHarvested
Norway;410000.0;AreaHarvested
Norway;2226000.0;AreaHarvested
Oman;440000.0;AreaHarvested
Pakistan;410000.0;AreaHarvested
Pakistan;440000.0;AreaHarvested
Pakistan;2221000.0;AreaHarvested
Pakistan;2222000.0;AreaHarvested
Pakistan;2224000.0;AreaHarvested
Pakistan;2226000.0;AreaHarvested
Panama;440000.0;AreaHarvested
Papua New Guinea;2231000.0;AreaHarvested
Papua New Guinea;2232000.0;AreaHarvested
Papua New Guinea;4243000.0;AreaHarvested
Paraguay;410000.0;AreaHarvested
Paraguay;440000.0;AreaHarvested
Paraguay;2222000.0;AreaHarvested
Paraguay;2224000.0;AreaHarvested
Paraguay;2226000.0;AreaHarvested
Peru;410000.0;AreaHarvested
Peru;440000.0;AreaHarvested
Peru;2222000.0;AreaHarvested
Peru;4243000.0;AreaHarvested
Philippines;440000.0;AreaHarvested
Philippines;2221000.0;AreaHarvested
Philippines;2222000.0;AreaHarvested
Philippines;2231000.0;AreaHarvested
Philippines;2232000.0;AreaHarvested
Philippines;4243000.0;AreaHarvested
Russia;410000.0;AreaHarvested
Russia;440000.0;AreaHarvested
Russia;2222000.0;AreaHarvested
Russia;2224000.0;AreaHarvested
Russia;2226000.0;AreaHarvested
Rwanda;410000.0;AreaHarvested
Rwanda;440000.0;AreaHarvested
Samoa;2231000.0;AreaHarvested
Sao Tome and Principe;2231000.0;AreaHarvested
Sao Tome and Principe;2232000.0;AreaHarvested
Saudi Arabia;410000.0;AreaHarvested
Saudi Arabia;440000.0;AreaHarvested
Senegal;440000.0;AreaHarvested
Senegal;2221000.0;AreaHarvested
Senegal;4243000.0;AreaHarvested
Serbia;410000.0;AreaHarvested
Serbia;440000.0;AreaHarvested
Serbia;2222000.0;AreaHarvested
Serbia;2224000.0;AreaHarvested
Sierra Leone;440000.0;AreaHarvested
Sierra Leone;2232000.0;AreaHarvested
Sierra Leone;4243000.0;AreaHarvested
Solomon Islands;2231000.0;AreaHarvested
Solomon Islands;2232000.0;AreaHarvested
Somalia;440000.0;AreaHarvested
South Africa;410000.0;AreaHarvested
South Africa;440000.0;AreaHarvested
South Africa;2221000.0;AreaHarvested
South Africa;2222000.0;AreaHarvested
South Africa;2224000.0;AreaHarvested
South Africa;2226000.0;AreaHarvested
South Sudan;440000.0;AreaHarvested
Sri Lanka;440000.0;AreaHarvested
Sudan;410000.0;AreaHarvested
Sudan;2221000.0;AreaHarvested
Switzerland;410000.0;AreaHarvested
Switzerland;440000.0;AreaHarvested
Switzerland;2222000.0;AreaHarvested
Switzerland;2224000.0;AreaHarvested
Switzerland;2226000.0;AreaHarvested
Syria;410000.0;AreaHarvested
Syria;440000.0;AreaHarvested
Syria;2222000.0;AreaHarvested
Syria;4235000.0;AreaHarvested
Taiwan;410000.0;AreaHarvested
Taiwan;440000.0;AreaHarvested
Taiwan;2221000.0;AreaHarvested
Taiwan;2222000.0;AreaHarvested
Tajikistan;410000.0;AreaHarvested
Tajikistan;440000.0;AreaHarvested
Tanzania;410000.0;AreaHarvested
Tanzania;440000.0;AreaHarvested
Tanzania;2221000.0;AreaHarvested
Tanzania;2231000.0;AreaHarvested
Thailand;440000.0;AreaHarvested
Thailand;2221000.0;AreaHarvested
Thailand;2222000.0;AreaHarvested
Thailand;2231000.0;AreaHarvested
Thailand;2232000.0;AreaHarvested
Thailand;4243000.0;AreaHarvested
Togo;440000.0;AreaHarvested
