ANO;MES;CO_NCM;ARG_PAIS_CO;PNET;FOB;NO_NCM_POR;ARG_PAIS_NOME
2019;1;10019900;129;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Mauritania
2019;1;10019900;131;138978000,000;30525439,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Nigeria
2019;2;10019900;131;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Nigeria
2019;3;10019900;131;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Nigeria
2019;5;10019900;131;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Nigeria
2019;11;10019900;131;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Nigeria
2019;12;10019900;131;38654900,000;8431086,52;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Nigeria
2019;2;10019900;132;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Zimbabwe
2019;4;10019900;132;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Zimbabwe
2019;2;10019900;133;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Rwanda
2019;2;10019900;134;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Senegal
2019;5;10019900;134;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Senegal
2019;1;10019900;139;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Tanzania, Republica Unida de
2019;2;10019900;139;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Tanzania, Republica Unida de
2019;3;10019900;139;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Tanzania, Republica Unida de
2019;11;10019900;139;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Tanzania, Republica Unida de
2019;12;10019900;139;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Tanzania, Republica Unida de
2019;1;10019900;142;70850000,000;15146096,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Uganda
2019;2;10019900;142;30400000,000;6885000,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Uganda
2019;3;10019900;142;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Uganda
2019;4;10019900;142;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Uganda
2019;11;10019900;142;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Uganda
2019;12;10019900;142;37720000,000;6992580,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Uganda
2019;1;10019900;151;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Mozambique
2019;2;10019900;151;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Mozambique
2019;12;10019900;151;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Mozambique
2019;1;10019900;158;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Namibia
2019;12;10019900;161;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Etiopia
2019;1;10019900;202;6110000,000;1103668,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;2;10019900;202;5223860,000;912168,50;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;3;10019900;202;4691820,000;878167,60;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;4;10019900;202;4780120,000;848282,20;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;5;10019900;202;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;6;10019900;202;3183560,000;611623,80;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;7;10019900;202;3229880,000;711965,50;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;8;10019900;202;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;9;10019900;202;2146000,000;471861,90;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;10;10019900;202;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;11;10019900;202;6820438,000;1287436,59;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;12;10019900;202;14333290,000;2646763,47;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bolivia
2019;1;10019900;203;756000540,000;165928722,57;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;2;10019900;203;530347475,000;119289164,60;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;3;10019900;203;403341465,000;90689216,19;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;4;10019900;203;412790980,000;94940092,60;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;5;10019900;203;319326170,000;71168012,39;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;6;10019900;203;447829020,000;102712350,44;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;7;10019900;203;410760575,000;95779908,29;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;8;10019900;203;387595725,000;93479070,29;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;9;10019900;203;298937465,000;69608654,44;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;10;10019900;203;228049230,000;50839144,08;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;11;10019900;203;444438980,000;85883718,57;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;12;10019900;203;655506080,000;125572091,49;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Brasil
2019;1;10019900;204;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Canada
2019;3;10019900;204;2041480,000;708876,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Canada
2019;4;10019900;204;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Canada
2019;5;10019900;204;1263435,000;400266,90;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Canada
2019;6;10019900;204;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Canada
2019;7;10019900;204;1222640,000;376318,20;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Canada
2019;8;10019900;204;1396380,000;445789,80;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Canada
2019;9;10019900;204;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Canada
2019;1;10019900;205;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Colombia
2019;12;10019900;205;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Colombia
2019;1;10019900;208;98847470,000;22116298,25;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;2;10019900;208;18032060,000;4153812,50;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;3;10019900;208;69688395,000;16478095,75;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;4;10019900;208;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;5;10019900;208;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;6;10019900;208;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;7;10019900;208;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;8;10019900;208;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;11;10019900;208;69987000,000;13261750,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;12;10019900;208;85020445,000;16628249,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Chile
2019;1;10019900;210;40132020,000;8769863,84;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;2;10019900;210;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;3;10019900;210;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;4;10019900;210;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;5;10019900;210;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;6;10019900;210;1871560,000;724976,06;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;8;10019900;210;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;9;10019900;210;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;10;10019900;210;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;11;10019900;210;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;12;10019900;210;35993730,000;7087676,25;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Ecuador
2019;1;10019900;212;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Estados Unidos
2019;5;10019900;212;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Estados Unidos
2019;1;10019900;218;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Mexico
2019;1;10019900;222;72011800,000;15575390,70;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Peru
2019;2;10019900;222;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Peru
2019;4;10019900;222;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Peru
2019;5;10019900;222;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Peru
2019;12;10019900;222;116679450,000;22034708,10;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Peru
2019;2;10019900;225;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Uruguay
2019;5;10019900;225;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Uruguay
2019;8;10019900;225;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Uruguay
2019;1;10019900;312;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Filipinas
2019;12;10019900;312;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Filipinas
2019;1;10019900;316;591866100,000;127345603,09;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Indonesia
2019;2;10019900;316;459054623,000;104483476,11;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Indonesia
2019;3;10019900;316;232072512,000;50990730,52;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Indonesia
2019;4;10019900;316;133970228,000;30614365,76;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Indonesia
2019;5;10019900;316;168738770,000;38773908,77;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Indonesia
2019;11;10019900;316;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Indonesia
2019;12;10019900;316;396101000,000;77307409,32;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Indonesia
2019;1;10019900;322;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Qatar
2019;3;10019900;326;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Malasia
2019;4;10019900;326;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Malasia
2019;12;10019900;326;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Malasia
2019;12;10019900;328;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Oman
2019;1;10019900;331;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Emiratos Arabes Unidos
2019;12;10019900;331;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Emiratos Arabes Unidos
2019;1;10019900;335;130996514,000;27876314,55;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Tailandia
2019;2;10019900;335;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Tailandia
2019;3;10019900;335;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Tailandia
2019;12;10019900;335;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Tailandia
2019;2;10019900;337;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Viet Nam
2019;3;10019900;337;39401000,000;8432923,50;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Viet Nam
2019;4;10019900;337;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Viet Nam
2019;5;10019900;337;72042000,000;16165380,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Viet Nam
2019;6;10019900;337;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Viet Nam
2019;12;10019900;337;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Viet Nam
2019;1;10019900;345;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bangladesh
2019;4;10019900;345;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bangladesh
2019;12;10019900;345;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Bangladesh
2019;1;10019900;423;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Paises Bajos
2019;2;10019900;423;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Paises Bajos
2019;3;10019900;423;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Paises Bajos
2019;4;10019900;423;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Paises Bajos
2019;2;10019900;504;s;s;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Nueva Zelandia
2019;1;10019900;999;542543615,000;118870740,62;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;2;10019900;999;402580777,000;90172154,17;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;3;10019900;999;197819420,000;43878728,66;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;4;10019900;999;309761220,000;69995242,59;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;5;10019900;999;85170250,000;20066358,16;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;6;10019900;999;28093680,000;6740455,90;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
