Código_Produto,Classificação,Subproduto,Local,
D_WHS_PM_ROS_US,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_F,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_G,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_H,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_J,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_K,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_M,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_N,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_Q,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_U,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_V,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_X,Trigo,Wheat Grain,Rosario,
D_WHS_PM_ROS_US_Z,Trigo,Wheat Grain,Rosario,
WhDe_WW_2,Trigo,Wheat Grain,,
WhES_WW_1,Trigo,Wheat Grain,,
WhPd_WW,Trigo,Wheat Grain,,
WHPR,Trigo,Wheat Grain,,
WHPR_BR,Trigo,Wheat Bran,,
WhPr_EU,Trigo,Wheat Grain,Europa,
WhPr_US,Trigo,Wheat Grain,EUA,
WhPr_WW,Trigo,Wheat Grain,,
WhWhPr_Pr_BR,Trigo,Wheat Grain,Paraná,
BBPR_OI,Outros,,,
CcPr_WW,Outros,,,
CIPR_PP,Outros,,,
CJPR_NSLQ,Outros,,,
CPPR_OI,Outros,,,
CRPR_WX,Outros,,,
CUPR_OI,Outros,,,
CVPR_ST,Outros,,,
CZPR_OICR,Outros,,,
DDG,Outros,,,
EUPR_OI,Outros,,,
FEPR_ME,Outros,,,
FIPR_ME,Outros,,,
FIPR_OI,Outros,,,
OLPR_OI_VIR,Outros,,,
PAPR_KEME,Outros,,,
PAPR_KEOI,Outros,,,
PAPR_OI_R,Outros,,,
PAPR_OICR,Outros,,,
PAPR_OL,Outros,,,
TtPr_WW,Outros,Soybean Grain,,
